-1916,6976,14520
-1984,7042,14584
-1964,6984,14420
-1872,7150,14716
-1986,7256,14284
-1918,6972,14752
-1938,6964,14436
-1872,7024,14738
-1942,7040,14506
-1924,7028,14610
-1938,7012,14374
-1898,7088,14582
-2042,7216,14362
-1956,6798,14714
-2216,7790,16960
-3272,7126,26596
-3764,5158,26356
-3400,7908,8550
-2978,5602,9698
-5764,9996,3108
-5736,10242,3590
-5532,7922,6174
-4072,6982,4552
-4388,6390,10968
-6154,7614,19610
-6736,8302,32767
-4470,5606,5850
-6896,5568,25838
-6038,7412,15192
-4948,8166,6930
-3918,12480,-6712
-3912,8644,6418
-5040,5716,16814
-5990,7824,17054
-6970,9652,19110
-7536,8648,22090
-6256,7612,15858
-5086,7328,9068
-4880,8226,4862
-4532,12370,-3460
-4192,9190,8752
-4434,6162,17836
-5874,8986,19182
-5836,8528,19866
-6060,8110,17968
-5632,7464,16170
-5112,7772,11892
-5088,8440,8426
-5710,10004,6850
-5580,11106,5034
-5380,11024,5304
-5032,8288,11914
-4924,8556,12850
-5404,7544,19264
-5886,8250,18522
0,0,0
-6304,8254,22156
-5638,8056,17306
-5228,8652,7444
-5054,8784,3180
-4922,12026,-2020
-5060,10580,10036
-5356,9060,13972
-5284,8474,16062
-5626,8988,16198
-6886,10264,19742
-7396,10050,23308
-5178,7840,15008
-5044,8076,4102
-5346,7352,3162
-5132,9310,-228
-4606,8736,5432
-5226,8070,14298
-5776,8368,17946
-6854,12046,19240
-7596,12390,21362
-6288,9514,21896
-5118,7950,7198
-4984,6608,3694
-5210,7804,2414
-5428,9510,3908
-6044,8770,12908
-6358,8670,16190
-6878,9626,17494
-7374,10326,19194
-7050,8798,18176
-5946,8108,10052
-5658,7886,6196
-4858,9518,676
-5190,9612,7442
-5704,9138,13836
-5430,7538,16654
-6168,8924,17306
-6540,8814,18900
-6092,8344,15832
-5704,8220,12586
-5546,7960,9986
-5468,9420,7724
-5506,10438,5818
-5686,9512,9348
-5626,8892,13276
-5384,8806,12708
-5200,7390,14430
-5772,8236,16164
-6400,10032,17536
-6146,9388,19060
-5538,9310,11636
-5316,9312,6118
-4870,9872,824
-5102,7868,9974
-5572,7762,12680
-5950,9116,13434
-6214,10122,13836
-6268,10338,14730
-6680,9182,19940
-5976,8114,15984
-5390,8046,8926
-5380,8176,5748
-5260,7706,7794
-5828,8802,10244
-6134,11334,8566
-5774,10730,10040
-5266,8502,15746
-5436,8268,16760
-5806,8360,17494
-5872,9064,15102
-5878,9104,14064
-5560,8526,12788
-5374,9244,9148
-5500,9026,7708
-5598,10244,6820
-5584,9694,8214
-5556,9332,9588
-5428,8818,14884
-5398,8226,15804
-5972,9014,16928
-5994,9178,15692
-5730,9402,14878
-5332,8658,11606
-5456,9642,7658
-5036,10262,2998
-5020,9572,8998
-5556,8920,14226
-5510,9044,13780
-5660,9040,15258
-6046,8658,15032
-6154,8868,16786
-5536,8656,12554
-5580,9154,9676
-5542,9776,7640
-5732,9472,9076
-5258,10920,2824
-5102,10106,11046
-5014,8666,15286
-5116,8410,14370
-5436,8816,16258
-5970,9240,17718
-5360,8824,15268
-5114,8534,12270
-5248,9232,10404
-5236,10086,8208
-5216,11810,3586
-5126,10828,8668
-5296,9188,13560
-5408,9062,13578
-5262,8016,14896
-5516,8644,14476
-5652,8722,14870
-5152,8754,12670
-5418,9202,12914
-5246,11328,9622
-5404,10772,9912
-5288,11126,8080
-5288,10462,9486
-4984,9262,11670
-4898,7840,14738
-5140,8474,14242
-5394,8940,14198
-5600,9586,14954
-5326,9374,15118
-5384,9466,12652
-5414,9854,8290
-5232,9412,7450
-5090,9728,7530
-4790,10848,5400
-5214,10598,12954
-5150,10412,15212
-5032,9314,16392
-4922,8472,16456
-5362,8954,14820
-5250,9144,14104
-4968,9488,12564
-5184,9328,10146
-5274,9726,8042
-5246,10526,7346
-4908,11094,5160
-4704,9486,11434
-4970,8590,15716
-5158,8758,16398
-5428,9222,16070
-5482,8620,15486
-5166,9088,13582
-4964,9308,12796
-5154,9546,9992
-5338,10000,8548
-5198,9874,7654
-5420,9894,9410
-5086,11230,3396
-5032,9818,14514
-4856,9040,16688
-5062,8734,16708
-5624,9358,16900
-5108,9002,14272
-4978,8710,12874
-4750,8650,9306
-5150,10190,7722
-5562,10694,9226
-5610,10470,10064
-4698,11732,1050
-4400,8500,16936
-4920,8466,15268
-4940,9046,15844
-5522,9654,16452
-5178,9248,15008
-4818,8994,12748
-4884,9290,10578
-5224,9816,8748
-5382,11140,6994
-5100,10554,8386
-4836,10326,6988
-4650,8846,12826
-5058,9122,16108
-5376,9520,16826
-5536,9232,15890
-4896,8820,14010
-4982,8848,13134
-5216,9740,10430
-5066,10322,6906
-5050,11448,4488
-5036,11258,8376
-5014,9854,12608
-4700,8692,12798
-5170,9248,14862
-5378,9514,16408
-5520,9232,16172
-4924,8582,15100
-4758,9342,9882
-5064,10408,6642
-5340,11238,7504
-4866,10500,8086
-5220,10766,10602
-5022,10860,10830
-4986,8770,15022
-5154,8604,15638
-5282,9368,15526
-5040,9162,14196
-5200,9584,13554
-5020,9954,8970
-4868,10592,5000
-4614,11766,4620
-4984,10474,13306
-4920,9704,11532
-5008,9714,14154
-5374,9790,16000
-5580,9478,15456
-4842,8758,14074
-4936,8928,11414
-4926,10334,9100
-5220,11014,7932
-5268,11310,9150
-5420,10320,11638
-5080,9734,8906
-4744,9700,7730
-4308,8472,13008
-4716,8826,18632
-5042,9418,19202
-5428,9984,17288
-4840,9744,9334
-4792,8894,9514
-4558,10684,6014
-4570,11694,5936
-5218,11226,11786
-5034,9640,12696
-4660,9294,12552
-5056,8818,14532
-5334,8892,15370
-5096,9624,14408
-5038,9484,14074
-4890,10140,10766
-4936,10222,8822
-5136,10292,9062
-5260,10792,9956
-5188,10694,9352
-4872,10894,7166
-4548,8870,13260
-4588,9132,13906
-5154,9648,15892
-5260,9672,15384
-4582,8782,14982
-4776,9048,14114
-5126,9534,10688
-5044,11424,6092
-4838,11576,4712
-4598,10842,8098
-4972,10014,12578
-4890,9668,12788
-5112,9612,14856
-5198,9554,15994
-5342,8574,16090
-4662,8916,13096
-4892,9666,11382
-5368,10930,9118
-4958,10832,6268
-4570,10846,7136
-5068,11010,10742
-4872,9922,12714
-4766,9026,13566
-5070,9492,14540
-5194,9458,15444
-5134,9700,15154
-4924,9274,12048
-4862,9762,9220
-4714,10492,7002
-5162,10250,11740
-5248,10490,10538
-4532,11734,1950
-4436,8310,15308
-4576,8924,14648
-4822,10030,16344
-5240,10008,16676
-4864,9400,13494
-4470,8166,12522
-4842,8882,11010
-5246,10882,7980
-4832,11884,5292
-4692,10574,9198
-4924,10626,10814
-5052,9880,13006
-4856,9216,14420
-5074,8268,16468
-5202,8804,15000
-4938,9074,13388
-4942,9950,10056
-4858,11130,6128
-4724,11248,8208
-4870,10460,9328
-4944,10796,9134
-4654,9352,13760
-4512,8762,13954
-5100,9496,16286
-5078,9686,15158
-4806,9764,14674
-4866,9844,11776
-4554,9450,8620
-4936,10744,6838
-5070,10484,10478
-4820,10064,9000
-4822,11240,5348
-4902,10164,14718
-4648,9554,14534
-4620,8830,15920
-5228,9616,16182
-4762,9202,13304
-4792,8834,12586
-4694,9202,10224
-4724,10422,8096
-5028,11474,7538
-4768,11296,6872
-4706,11102,8874
-4558,9618,14958
-4574,9374,15210
-4904,9530,16114
-5166,9472,15656
-4720,8844,14374
-4824,9918,12398
-4964,10196,7904
